name,type,distance,moving_time,average_heartrate,total_elevation_gain,workout_type,start_date_local,mile_pace,week_start,is_warmup_cooldown,pace_percentile,distance_percentile
Failed Half Marathon 😅,Run,9.0324375,67.46666666666667,170.6,0.0,Long Run,2026-01-30 06:31:18,7.469375422378142,2026-01-26,False,0.5159235668789809,0.9171974522292994
Afternoon Run,Run,5.0291875,34.93333333333333,174.5,0.0,None,2026-01-17 17:27:44,6.946118698762639,2026-01-12,False,0.7643312101910829,0.6751592356687898
Morning Treadmill with David,Run,4.2145,31.416666666666668,180.2,0.0,None,2026-01-07 06:21:37,7.45442322141812,2026-01-05,False,0.5286624203821656,0.6050955414012739
Morning Run,Run,1.9926249999999999,19.033333333333335,145.7,15.7,Easy Run,2025-12-31 08:44:08,9.551889258306675,2025-12-29,False,0.025477707006369428,0.34394904458598724
Morning Run,Run,4.69875,41.583333333333336,160.6,74.3,None,2025-12-27 09:17:11,8.849871419703822,2025-12-22,False,0.050955414012738856,0.6560509554140127
12Ks of Christmas 2025,Run,7.552125,54.35,175.4,0.0,None,2025-12-24 09:14:57,7.19664994951752,2025-12-22,False,0.6815286624203821,0.8853503184713376
ELIIIII,Run,6.7103125,50.61666666666667,160.4,164.9,None,2025-12-19 09:43:06,7.54311616138096,2025-12-15,False,0.445859872611465,0.8535031847133758
Free from finals!,Run,8.04675,69.65,161.5,0.0,Long Run,2025-12-16 17:01:49,8.655668437567964,2025-12-15,False,0.05732484076433121,0.9044585987261147
CS done! Up next: Chem,Run,5.0291875,37.983333333333334,155.2,0.0,None,2025-12-08 13:05:45,7.552578489732851,2025-12-08,False,0.43312101910828027,0.6751592356687898
Treadmill,Run,3.842125,28.083333333333332,166.1,0.0,None,2025-12-04 18:34:04,7.309323182700545,2025-12-01,False,0.6242038216560509,0.5668789808917197
Afternoon Run,Run,5.0291875,41.983333333333334,157.7,0.0,None,2025-11-29 16:46:50,8.347935592644603,2025-11-24,False,0.09554140127388536,0.6751592356687898
Turkey Trot 10K,Run,6.25,46.0,,0.0,None,2025-11-27 16:40:36,7.36,2025-11-24,False,0.5923566878980892,0.7898089171974523
5 mile treadmill,Run,5.5425,38.65,158.4,0.0,None,2025-11-24 17:49:52,6.97338746053225,2025-11-24,False,0.7515923566878981,0.7515923566878981
Afternoon Run,Run,7.0,54.35,160.7,0.0,None,2025-11-18 17:14:56,7.764285714285714,2025-11-17,False,0.27388535031847133,0.8662420382165605
Lunch Run,Run,10.065249999999999,71.48333333333333,171.4,97.7,Long Run,2025-11-08 11:23:24,7.101992830116822,2025-11-03,False,0.7197452229299363,0.9363057324840764
Treadmill,Run,4.77775,36.35,165.3,0.0,None,2025-11-01 21:43:04,7.608183768510282,2025-10-27,False,0.39490445859872614,0.6624203821656051
Pre Linear Algebra Midterm Shakeout,Run,5.728624999999999,43.75,157.2,52.8,Easy Run,2025-10-21 17:06:43,7.637085688101422,2025-10-20,False,0.3630573248407643,0.7643312101910829
Morning Run,Run,4.0355,36.2,133.1,22.6,None,2025-10-16 10:14:21,8.970387808202206,2025-10-13,False,0.03821656050955414,0.5923566878980892
